# The redirect-pending exception is deliberately narrower than STATIC_ASSET.
#
# Only immutable image files below the frozen legacy theme image directory may
# pass through the legacy chain while the deciding response owns the redirect
# barrier. Generated /zkau/view content, executable ZK resources, ordinary
# application assets, path parameters, traversal, and write methods stay
# refused.
#
# method	path_within_context	transition_safe
GET	/theme/default/images/zk/progress2.gif	true
HEAD	/theme/default/images/zul/grid/column-bg.png	true
POST	/theme/default/images/zk/progress2.gif	false
GET	/theme/default/css/img.css.dsp	false
GET	/theme/default/images/source.pdn	false
GET	/zkau/view/z_a1/image.png	false
GET	/zkau/web/js/zk.wpd	false
GET	/images/logo.png	false
GET	/theme/default/images/../index.zul	false
GET	/theme/default/images/%2e%2e/%2e%2e/zkau/view/a.gif	false
GET	/theme/default/images/a.png;jsessionid=ABC	false
