source_mapping_id	source_descriptor	route_pattern	disposition	reason	closing_gate
JASPER-DEPLOY-GETMD5	JasperReportsWebApp/deploy/WebApp.ear/webApp.war/WEB-INF/web.xml	/GetMD5File	defer-phase5g-jasper-web	Interactive/report web ownership is Phase 5g; remain absent from shipped Phase 5f descriptors.	phase5g-report-web-gate
JASPER-SOURCE-GETMD5	JasperReportsWebApp/src/WEB-INF/web.xml	/GetMD5File	defer-phase5g-jasper-web	Interactive/report web ownership is Phase 5g; remain absent from shipped Phase 5f descriptors.	phase5g-report-web-gate
JBOSS-JNDI	org.adempiere.webservice/deploy/jboss/server/adempiere/deploy/http-invoker.sar/invoker.war/WEB-INF/web.xml	/JNDIFactory/*	drop-jboss-http-invoker	Not installed by Phase 3 and depends on the quarantined JBoss surface.	phase5fFinalVerification
JBOSS-READONLY-JNDI	org.adempiere.webservice/deploy/jboss/server/adempiere/deploy/http-invoker.sar/invoker.war/WEB-INF/web.xml	/ReadOnlyJNDIFactory/*	drop-jboss-http-invoker	Not installed by Phase 3 and depends on the quarantined JBoss surface.	phase5fFinalVerification
JBOSS-EJB-INVOKER	org.adempiere.webservice/deploy/jboss/server/adempiere/deploy/http-invoker.sar/invoker.war/WEB-INF/web.xml	/EJBInvokerServlet/*	drop-jboss-http-invoker	Not installed by Phase 3 and depends on the quarantined JBoss surface.	phase5fFinalVerification
JBOSS-JMX-INVOKER	org.adempiere.webservice/deploy/jboss/server/adempiere/deploy/http-invoker.sar/invoker.war/WEB-INF/web.xml	/JMXInvokerServlet/*	drop-jboss-http-invoker	Not installed by Phase 3 and depends on the quarantined JBoss surface.	phase5fFinalVerification
JBOSS-READONLY-JMX	org.adempiere.webservice/deploy/jboss/server/adempiere/deploy/http-invoker.sar/invoker.war/WEB-INF/web.xml	/readonly/JMXInvokerServlet/*	drop-jboss-http-invoker	Not installed by Phase 3 and depends on the quarantined JBoss surface.	phase5fFinalVerification
JBOSS-RESTRICTED-JNDI	org.adempiere.webservice/deploy/jboss/server/adempiere/deploy/http-invoker.sar/invoker.war/WEB-INF/web.xml	/restricted/JNDIFactory/*	drop-jboss-http-invoker	Not installed by Phase 3 and depends on the quarantined JBoss surface.	phase5fFinalVerification
JBOSS-RESTRICTED-JMX	org.adempiere.webservice/deploy/jboss/server/adempiere/deploy/http-invoker.sar/invoker.war/WEB-INF/web.xml	/restricted/JMXInvokerServlet/*	drop-jboss-http-invoker	Not installed by Phase 3 and depends on the quarantined JBoss surface.	phase5fFinalVerification
JBOSS-READONLY-FILTER	org.adempiere.webservice/deploy/jboss/server/adempiere/deploy/http-invoker.sar/invoker.war/WEB-INF/web.xml	/readonly/*	drop-jboss-http-invoker	Not installed by Phase 3 and depends on the quarantined JBoss surface.	phase5fFinalVerification
SERVERAPPS-TEST	serverApps/src/etc/WEB-INF/web.xml	/Test	drop-superseded-descriptor-duplicate	Descriptor is not installed by Phase 3; no modern route is created.	phase5fFinalVerification
