# Phase 5g-0: every AD_Column that declares a callout.
#
# A callout fires on field change during a write. If a Phase 5g fixture
# touches one of these columns, part of the fixture's database effect is
# owned by the callout, and the fixture must say so rather than attribute
# the whole effect to the window.
#
# Generated by scripts/phase5/generate-phase5g-inventories.py from
# db/ddlutils/adempiere-data.xml. Do not hand-edit.
ad_column_id	ad_table_id	column_name	entity_type	is_active	callout
116	101	ColumnName	D	Y	org.compiere.model.Callout_AD_Column.columnName
329	135	T_Integer	D	Y	compiere.model.CalloutUser.justAnExample
455	140	MultiplyRate	D	Y	org.compiere.model.CalloutEngine.rate
456	140	DivideRate	D	Y	org.compiere.model.CalloutEngine.rate
1012	175	MultiplyRate	D	Y	org.compiere.model.CalloutEngine.rate
1013	175	DivideRate	D	Y	org.compiere.model.CalloutEngine.rate
1634	224	DateDoc	D	Y	org.compiere.model.CalloutEngine.dateAcct
1635	224	DateAcct	D	Y	org.compiere.model.CalloutGLJournal.period; org.compiere.model.CalloutGLJournal.rate
1636	224	C_Period_ID	D	Y	org.compiere.model.CalloutGLJournal.period
1637	224	C_Currency_ID	D	Y	org.compiere.model.CalloutGLJournal.rate
1654	225	C_Period_ID	D	Y	org.compiere.model.CalloutGLJournal.period
1678	226	C_Currency_ID	D	Y	org.compiere.model.CalloutGLJournal.rate
1679	226	AmtSourceDr	D	Y	org.compiere.model.CalloutGLJournal.amt
1680	226	AmtSourceCr	D	Y	org.compiere.model.CalloutGLJournal.amt
1793	225	DateDoc	D	Y	org.compiere.model.CalloutEngine.dateAcct
1794	225	DateAcct	D	Y	org.compiere.model.CalloutGLJournal.period
1806	226	CurrencyRate	D	Y	org.compiere.model.CalloutGLJournal.amt
2173	259	C_DocTypeTarget_ID	D	Y	org.compiere.model.CalloutOrder.docType
2181	259	DateOrdered	D	Y	org.compiere.model.CalloutEngine.dateAcct; org.compiere.model.CalloutOrder.priceList
2204	259	M_PriceList_ID	D	Y	org.compiere.model.CalloutOrder.priceList
2221	260	M_Product_ID	D	Y	org.compiere.model.CalloutOrder.product
2222	260	C_UOM_ID	D	Y	org.compiere.model.CalloutOrder.qty; org.compiere.model.CalloutOrder.amt
2224	260	QtyOrdered	D	Y	org.compiere.model.CalloutOrder.qty; org.compiere.model.CalloutOrder.amt
2231	260	PriceList	D	Y	org.compiere.model.CalloutOrder.amt
2232	260	PriceActual	D	Y	org.compiere.model.CalloutOrder.amt
2336	226	DateAcct	D	Y	org.compiere.model.CalloutGLJournal.rate
2762	259	C_BPartner_ID	D	Y	org.compiere.model.CalloutOrder.bPartner
2959	293	C_Location_ID	D	Y	org.adempiere.model.CalloutBPartnerLocation.formatPhone
3050	260	C_Charge_ID	D	Y	org.compiere.model.CalloutOrder.charge
3404	260	C_BPartner_Location_ID	D	Y	org.compiere.model.CalloutOrder.tax
3499	318	C_BPartner_ID	D	Y	org.compiere.model.CalloutInvoice.bPartner
3500	318	C_PaymentTerm_ID	D	Y	org.compiere.model.CalloutInvoice.paymentTerm
3517	319	MovementDate	D	Y	org.compiere.model.CalloutEngine.dateAcct
3539	320	M_Product_ID	D	Y	org.compiere.model.CalloutInOut.product
3540	320	MovementQty	D	Y	org.compiere.model.CalloutInOut.qty
3564	322	M_Locator_ID	D	Y	org.compiere.model.CalloutInventory.product
3565	322	M_Product_ID	D	Y	org.compiere.model.CalloutInventory.product
3593	324	M_Product_ID	D	Y	org.compiere.model.CalloutMovement.product
3594	324	MovementQty	D	Y	org.compiere.model.CalloutMovement.qty
3620	326	M_Product_ID	D	Y	org.compiere.model.CalloutProduction.product
3781	318	C_DocTypeTarget_ID	D	Y	org.compiere.model.CalloutInvoice.docType
3783	318	DateInvoiced	D	Y	org.compiere.model.CalloutEngine.dateAcct; org.compiere.model.CalloutOrder.priceList
3789	318	M_PriceList_ID	D	Y	org.compiere.model.CalloutOrder.priceList
3792	319	C_DocType_ID	D	Y	org.compiere.model.CalloutInOut.docType
3795	319	C_BPartner_ID	D	Y	org.compiere.model.CalloutInOut.bpartner
3798	319	M_Warehouse_ID	D	Y	org.compiere.model.CalloutInOut.warehouse
3809	319	C_Order_ID	D	Y	org.compiere.model.CalloutInOut.order
3811	320	C_OrderLine_ID	D	Y	org.compiere.model.CalloutInOut.orderLine
3812	320	C_UOM_ID	D	Y	org.compiere.model.CalloutInOut.qty
3840	333	M_Product_ID	D	Y	org.compiere.model.CalloutInvoice.product
3841	333	QtyInvoiced	D	Y	org.compiere.model.CalloutInvoice.qty; org.compiere.model.CalloutInvoice.amt
3843	333	PriceActual	D	Y	org.compiere.model.CalloutInvoice.amt
3845	333	C_Charge_ID	D	Y	org.compiere.model.CalloutInvoice.charge
3847	333	C_UOM_ID	D	Y	org.compiere.model.CalloutInvoice.qty; org.compiere.model.CalloutInvoice.amt
