session_alias,model,authoritative_api_calls,attributed_api_calls,authoritative_ai_credits,attributed_ai_credits,authoritative_active_ai_seconds,measured_plus_allocated_active_ai_seconds,segment_count,call_count_reconciled,credit_reconciled,active_time_reconciled,non_overlapping_segments
CLI-001,gpt-5.6-sol,106,106,106,106,878.241,878.241,1,true,true,true,true
CLI-001,claude-opus-5,17,17,255,255,297.602,297.602,1,true,true,true,true
CLI-002,gpt-5.6-sol,14,14,14,14,60.495,60.495,1,true,true,true,true
CLI-003,gpt-5.6-sol,150,150,150,150,1216.389,1216.389,1,true,true,true,true
CLI-003,claude-sonnet-5,97,97,97,97,1129.83,1129.83,1,true,true,true,true
CLI-003,gpt-5.4,215,215,215,215,2479.067,2479.067,1,true,true,true,true
CLI-004,gpt-5.6-sol,252,252,252,252,2037.097,2037.097,1,true,true,true,true
CLI-004,claude-opus-5,19,19,285,285,244.576,244.576,1,true,true,true,true
CLI-005,gpt-5.6-sol,16,16,16,16,74.638,74.638,1,true,true,true,true
CLI-006,gpt-5.6-sol,136,136,136,136,1320.088,1320.088,1,true,true,true,true
CLI-006,claude-opus-4.8,11,11,165,165,292.731,292.731,1,true,true,true,true
CLI-006,claude-haiku-4.5,17,17,5.610000222921,5.610000222921,62.143,62.143,1,true,true,true,true
CLI-006,claude-sonnet-4.6,11,11,11,11,365.431,365.431,1,true,true,true,true
CLI-007,gpt-5.6-sol,25,25,25,25,105.638,105.638,1,true,true,true,true
CLI-008,gpt-5.6-sol,696,696,696,696,6382.391,6382.391,1,true,true,true,true
CLI-008,gpt-5.4-mini,67,67,22.110000878572,22.110000878572,483.234,483.234,1,true,true,true,true
CLI-008,claude-opus-4.8,103,103,1545,1545,965.422,965.422,1,true,true,true,true
CLI-008,claude-sonnet-5,96,96,96,96,781.066,781.066,1,true,true,true,true
CLI-008,claude-opus-5,98,98,1470,1470,1189.116,1189.116,1,true,true,true,true
CLI-009,gpt-5.6-sol,50,50,50,50,305.003,305.003,1,true,true,true,true
CLI-010,gpt-5.6-sol,75,75,75,75,1084.614,1084.614,1,true,true,true,true
CLI-010,claude-opus-5,41,41,615,615,486.783,486.783,1,true,true,true,true
CLI-010,claude-sonnet-5,39,39,39,39,293.296,293.296,1,true,true,true,true
CLI-011,claude-opus-5,140,140,2100,2100,1479.023,1479.023,1,true,true,true,true
CLI-011,gpt-5.6-sol,8,8,8,8,169.361,169.361,1,true,true,true,true
CLI-012,claude-opus-5,75,75,1125,1125,577.292,577.292,1,true,true,true,true
CLI-013,gpt-5.6-sol,158,158,158,158,1590.802,1590.802,1,true,true,true,true
CLI-013,gpt-5.6-luna,209,209,209,209,760.444,760.444,1,true,true,true,true
CLI-013,claude-opus-4.8,6,6,90,90,214.887,214.887,1,true,true,true,true
CLI-013,claude-sonnet-5,44,44,44,44,409.003,409.003,1,true,true,true,true
CLI-014,gpt-5.6-sol,30,30,30,30,211.507,211.507,1,true,true,true,true
CLI-014,gpt-5.6-luna,71,71,71,71,360.97,360.97,1,true,true,true,true
CLI-015,gpt-5.6-sol,21,21,21,21,334.867,334.867,1,true,true,true,true
CLI-015,gpt-5.6-luna,8,8,8,8,62.934,62.934,1,true,true,true,true
CLI-015,claude-opus-5,80,80,1200,1200,950.899,950.899,1,true,true,true,true
CLI-015,claude-sonnet-5,20,20,20,20,209.76,209.76,1,true,true,true,true
CLI-016,gpt-5.6-sol,8,8,8,8,93.67,93.67,1,true,true,true,true
CLI-016,gpt-5.6-luna,6,6,6,6,24.261,24.261,1,true,true,true,true
CLI-017,gpt-5.6-sol,348,348,348,348,2942.423,2942.423,1,true,true,true,true
CLI-017,gpt-5.6-luna,341,341,341,341,1166.986,1166.986,1,true,true,true,true
CLI-017,claude-opus-5,946,946,14190,14190,12107.281,12107.281,1,true,true,true,true
CLI-017,claude-sonnet-4.6,21,21,21,21,381.052,381.052,1,true,true,true,true
CLI-018,gpt-5.6-sol,27,27,27,27,179.39,179.39,1,true,true,true,true
CLI-019,gpt-5.6-sol,795,795,795,795,5631.267,5631.267,1,true,true,true,true
CLI-019,claude-opus-5,24,24,360,360,301.063,301.063,1,true,true,true,true
CLI-019,claude-sonnet-4.6,68,68,68,68,1349.299,1349.299,1,true,true,true,true
CLI-020,gpt-5.6-sol,405,405,405,405,2691.883,2691.883,1,true,true,true,true
CLI-020,claude-opus-5,165,165,2475,2475,1297.384,1297.384,1,true,true,true,true
CLI-021,claude-opus-5,144,144,2160,2160,1795.31,1795.31,1,true,true,true,true
CLI-021,claude-sonnet-4.6,13,13,13,13,352.117,352.117,1,true,true,true,true
CLI-022,claude-opus-5,288,288,4320,4320,2174.811,2174.811,2,true,true,true,true
CLI-022,gpt-5.6-sol,11,11,11,11,120.629,120.629,1,true,true,true,true
CLI-023,claude-opus-5,171,171,2565,2565,1908.428,1908.428,1,true,true,true,true
CLI-023,gpt-5.6-sol,12,12,12,12,143.499,143.499,1,true,true,true,true
CLI-024,claude-opus-5,886,886,13290,13290,8374.758,8374.758,1,true,true,true,true
CLI-024,gpt-5.6-sol,9,9,9,9,154.381,154.381,1,true,true,true,true
CLI-025,gpt-5.6-sol,18,18,18,18,168.626,168.626,1,true,true,true,true
CLI-025,claude-opus-5,270,270,4050,4050,2414.263,2414.263,1,true,true,true,true
CLI-026,gpt-5.6-sol,410,410,410,410,3061.428,3061.428,3,true,true,true,true
CLI-026,claude-opus-4.8,14,14,210,210,243.047,243.047,1,true,true,true,true
CLI-026,claude-sonnet-5,211,211,211,211,1233.191,1233.191,1,true,true,true,true
CLI-027,claude-opus-5,23,23,345,345,106.356,106.356,1,true,true,true,true
CLI-028,claude-opus-5,189,189,2835,2835,2161.995,2161.995,1,true,true,true,true
CLI-028,gpt-5.6-sol,12,12,12,12,148.917,148.917,1,true,true,true,true
CLI-029,claude-opus-5,866,866,12990,12990,7957.605,7957.605,2,true,true,true,true
CLI-029,gpt-5.6-sol,11,11,11,11,175.206,175.206,1,true,true,true,true
CLI-030,claude-opus-5,1268,1268,19020,19020,11909.038,11909.038,3,true,true,true,true
CLI-030,gpt-5.6-luna,7,7,7,7,78.471,78.471,1,true,true,true,true
CLI-030,gpt-5.6-sol,9,9,9,9,163.522,163.522,1,true,true,true,true
CLI-030,claude-opus-4.8,125,125,1875,1875,1702.838,1702.838,1,true,true,true,true
CLI-031,gpt-5.6-sol,646,646,646,646,7299.338,7299.338000000001,2,true,true,true,true
CLI-031,claude-sonnet-5,130,130,130,130,1177.037,1177.037,1,true,true,true,true
