session_alias,repository_identity,branch_at_creation,session_summary,session_created_at_utc,session_updated_at_utc,session_elapsed_seconds,model,api_calls,ai_credits,measured_active_ai_seconds,first_model_use_at_utc,last_model_use_at_utc,inclusion_status,telemetry_status
CLI-001,adempiere/adempiere,develop,Implement Modernization Plan Phase One,2026-08-20T19:41:26.272Z,2026-08-20T20:43:11.076Z,3704.804,gpt-5.6-sol,106,106,878.241,2026-08-20T19:47:46.163Z,2026-08-20T20:31:36.572Z,measured_cli,complete_cloud_session_model_aggregate
CLI-001,adempiere/adempiere,develop,Implement Modernization Plan Phase One,2026-08-20T19:41:26.272Z,2026-08-20T20:43:11.076Z,3704.804,claude-opus-5,17,255,297.602,2026-08-20T19:47:50.735Z,2026-08-20T19:53:06.937Z,measured_cli,complete_cloud_session_model_aggregate
CLI-002,samqbush/adempiere2,phase-1-reproducible-core-gate,Fix CI in Pull Request,2026-08-20T20:46:21.527Z,2026-08-20T21:21:04.401Z,2082.874,gpt-5.6-sol,14,14,60.495,2026-08-20T20:46:38.958Z,2026-08-20T20:57:04.562Z,measured_cli,complete_cloud_session_model_aggregate
CLI-003,samqbush/adempiere2,develop,Implement Modernization Plan Phase,2026-08-20T21:22:12.276Z,2026-08-21T03:31:56.999Z,22184.723,gpt-5.6-sol,150,150,1216.389,2026-08-20T21:22:59.277Z,2026-08-20T22:42:04.373Z,measured_cli,complete_cloud_session_model_aggregate
CLI-003,samqbush/adempiere2,develop,Implement Modernization Plan Phase,2026-08-20T21:22:12.276Z,2026-08-21T03:31:56.999Z,22184.723,claude-sonnet-5,97,97,1129.83,2026-08-20T21:27:41.577Z,2026-08-20T21:55:50.249Z,measured_cli,complete_cloud_session_model_aggregate
CLI-003,samqbush/adempiere2,develop,Implement Modernization Plan Phase,2026-08-20T21:22:12.276Z,2026-08-21T03:31:56.999Z,22184.723,gpt-5.4,215,215,2479.067,2026-08-20T22:09:28.246Z,2026-08-20T22:29:28.145Z,measured_cli,complete_cloud_session_model_aggregate
CLI-004,samqbush/adempiere2,develop,Continue Modernization Plan Phase,2026-08-21T14:44:19.368Z,2026-08-21T19:56:13.119Z,18713.751,gpt-5.6-sol,252,252,2037.097,2026-08-21T14:44:54.858Z,2026-08-21T19:56:13.062Z,measured_cli,complete_cloud_session_model_aggregate
CLI-004,samqbush/adempiere2,develop,Continue Modernization Plan Phase,2026-08-21T14:44:19.368Z,2026-08-21T19:56:13.119Z,18713.751,claude-opus-5,19,285,244.576,2026-08-21T16:41:40.573Z,2026-08-21T16:45:47.387Z,measured_cli,complete_cloud_session_model_aggregate
CLI-005,samqbush/adempiere2,phase-3-installed-distribution,Fix CI in Pull Request,2026-08-21T20:28:49.577Z,2026-08-22T13:06:28.128Z,59858.551,gpt-5.6-sol,16,16,74.638,2026-08-21T20:29:02.447Z,2026-08-21T20:42:17.780Z,measured_cli,complete_cloud_session_model_aggregate
CLI-006,samqbush/adempiere2,develop,Plan Next Phase Review,2026-08-21T20:42:53.456Z,2026-08-22T11:42:54.569Z,54001.113,gpt-5.6-sol,136,136,1320.088,2026-08-21T20:43:37.609Z,2026-08-21T22:58:43.510Z,measured_cli,complete_cloud_session_model_aggregate
CLI-006,samqbush/adempiere2,develop,Plan Next Phase Review,2026-08-21T20:42:53.456Z,2026-08-22T11:42:54.569Z,54001.113,claude-opus-4.8,11,165,292.731,2026-08-21T21:49:53.228Z,2026-08-21T21:55:29.177Z,measured_cli,complete_cloud_session_model_aggregate
CLI-006,samqbush/adempiere2,develop,Plan Next Phase Review,2026-08-21T20:42:53.456Z,2026-08-22T11:42:54.569Z,54001.113,claude-haiku-4.5,17,5.610000222921,62.143,2026-08-21T22:06:01.397Z,2026-08-21T22:17:03.447Z,measured_cli,complete_cloud_session_model_aggregate
CLI-006,samqbush/adempiere2,develop,Plan Next Phase Review,2026-08-21T20:42:53.456Z,2026-08-22T11:42:54.569Z,54001.113,claude-sonnet-4.6,11,11,365.431,2026-08-21T22:32:06.891Z,2026-08-21T22:38:15.415Z,measured_cli,complete_cloud_session_model_aggregate
CLI-007,samqbush/adempiere2,phase-4-api-edge-modernization,Fix CI in Pull Request,2026-08-22T12:41:11.865Z,2026-08-22T13:05:46.788Z,1474.923,gpt-5.6-sol,25,25,105.638,2026-08-22T12:41:28.999Z,2026-08-22T12:56:57.810Z,measured_cli,complete_cloud_session_model_aggregate
CLI-008,samqbush/adempiere2,develop,Continue Modernization Plan Phase,2026-08-22T13:06:46.783Z,2026-08-22T18:50:51.183Z,20644.4,gpt-5.6-sol,696,696,6382.391,2026-08-22T13:07:27.252Z,2026-08-22T18:50:50.954Z,measured_cli,complete_cloud_session_model_aggregate
CLI-008,samqbush/adempiere2,develop,Continue Modernization Plan Phase,2026-08-22T13:06:46.783Z,2026-08-22T18:50:51.183Z,20644.4,gpt-5.4-mini,67,22.110000878572,483.234,2026-08-22T13:08:56.791Z,2026-08-22T13:13:32.421Z,measured_cli,complete_cloud_session_model_aggregate
CLI-008,samqbush/adempiere2,develop,Continue Modernization Plan Phase,2026-08-22T13:06:46.783Z,2026-08-22T18:50:51.183Z,20644.4,claude-opus-4.8,103,1545,965.422,2026-08-22T13:15:49.166Z,2026-08-22T15:54:07.854Z,measured_cli,complete_cloud_session_model_aggregate
CLI-008,samqbush/adempiere2,develop,Continue Modernization Plan Phase,2026-08-22T13:06:46.783Z,2026-08-22T18:50:51.183Z,20644.4,claude-sonnet-5,96,96,781.066,2026-08-22T14:08:31.077Z,2026-08-22T15:05:51.231Z,measured_cli,complete_cloud_session_model_aggregate
CLI-008,samqbush/adempiere2,develop,Continue Modernization Plan Phase,2026-08-22T13:06:46.783Z,2026-08-22T18:50:51.183Z,20644.4,claude-opus-5,98,1470,1189.116,2026-08-22T15:06:52.371Z,2026-08-22T15:28:32.850Z,measured_cli,complete_cloud_session_model_aggregate
CLI-009,samqbush/adempiere2,phase-4-api-edge-modernization-completion,Fix CI in Pull Request,2026-08-23T16:46:33.982Z,2026-08-24T12:55:23.098Z,72529.116,gpt-5.6-sol,50,50,305.003,2026-08-23T16:46:47.236Z,2026-08-23T17:36:26.104Z,measured_cli,complete_cloud_session_model_aggregate
