# project	groupId	artifactId
:JasperReports	io.github.adempiere	jasperreports
:base	io.github.adempiere	base
:client	io.github.adempiere	swing
:extend	io.github.adempiere	extend
:install	io.github.adempiere	install
:migration	io.github.adempiere	migration
:org.adempiere.asset	io.github.adempiere	asset
:org.adempiere.crm	io.github.adempiere	crm
:org.adempiere.pos	io.github.adempiere	point-of-sales
:org.adempiere.production	io.github.adempiere	production
:org.adempiere.project	io.github.adempiere	project
:org.adempiere.request	io.github.adempiere	request
:org.adempiere.test	io.github.adempiere	adempiere.test
:org.eevolution.cashflow	io.github.adempiere	cashflow
:org.eevolution.distribution	io.github.adempiere	distribution
:org.eevolution.freight	io.github.adempiere	freight
:org.eevolution.hr_and_payroll	io.github.adempiere	human-resource-and-payroll
:org.eevolution.manufacturing	io.github.adempiere	manufacturing
:org.eevolution.warehouse	io.github.adempiere	wms
:org.spin.authentication	io.github.adempiere	openid-authentication
:org.spin.finance_management	io.github.adempiere	investment-and-loan
:org.spin.hr_time_and_attendance	io.github.adempiere	time-and-attendance
:org.spin.loan_management	io.github.adempiere	loan
:org.spin.notifier.discord	io.github.adempiere	discord-notifier
:org.spin.notifier.telegram	io.github.adempiere	telegram-notifier
:org.spin.store	io.github.adempiere	store
:serverRoot	io.github.adempiere	server-root
:tools	io.github.adempiere	tools
