# path	classification	reason
JasperReportsTools/lib/commons-beanutils-1.9.3.jar	quarantined	Tracked legacy binary retained pending Phase 3 packaging parity
JasperReportsTools/lib/commons-digester-2.1.jar	quarantined	Tracked legacy binary retained pending Phase 3 packaging parity
JasperReportsTools/lib/iReport.jar	quarantined	Tracked legacy binary retained pending Phase 3 packaging parity
JasperReportsTools/lib/iText-2.1.7.jar	quarantined	Tracked legacy binary retained pending Phase 3 packaging parity
JasperReportsTools/lib/jasperreports-6.17.0.jar	quarantined	Tracked legacy binary retained pending Phase 3 packaging parity
JasperReportsTools/lib/jasperreports-fonts-6.17.0.jar	quarantined	Tracked legacy binary retained pending Phase 3 packaging parity
JasperReportsTools/lib/jfreechart-1.0.13.jar	quarantined	Tracked legacy binary retained pending Phase 3 packaging parity
JasperReportsWebApp/deploy/WebApp.ear/webAppEJB.jar	quarantined	Tracked legacy binary retained pending Phase 3 packaging parity
data/seed/Adempiere.jar	quarantined	Tracked legacy binary retained pending Phase 3 packaging parity
data/seed/Adempiere_pg.jar	quarantined	Tracked legacy binary retained pending Phase 3 packaging parity
db/ddlutils/lib/DdlUtils-1.0-RC1.jar	quarantined	Tracked legacy binary retained pending Phase 3 packaging parity
db/ddlutils/lib/ant-contrib-1.0b1.jar	quarantined	Tracked legacy binary retained pending Phase 3 packaging parity
db/ddlutils/lib/commons-beanutils-1.7.0.jar	quarantined	Tracked legacy binary retained pending Phase 3 packaging parity
db/ddlutils/lib/commons-betwixt-0.8-RC1.jar	quarantined	Tracked legacy binary retained pending Phase 3 packaging parity
db/ddlutils/lib/commons-codec-1.3.jar	quarantined	Tracked legacy binary retained pending Phase 3 packaging parity
db/ddlutils/lib/commons-dbcp-1.2.1.jar	quarantined	Tracked legacy binary retained pending Phase 3 packaging parity
db/ddlutils/lib/commons-digester-1.7.jar	quarantined	Tracked legacy binary retained pending Phase 3 packaging parity
db/ddlutils/lib/commons-lang-2.1.jar	quarantined	Tracked legacy binary retained pending Phase 3 packaging parity
db/ddlutils/lib/commons-logging-1.0.4.jar	quarantined	Tracked legacy binary retained pending Phase 3 packaging parity
db/ddlutils/lib/commons-pool-1.2.jar	quarantined	Tracked legacy binary retained pending Phase 3 packaging parity
db/ddlutils/lib/dom4j-1.4.jar	quarantined	Tracked legacy binary retained pending Phase 3 packaging parity
db/ddlutils/lib/fyracle.jar	quarantined	Tracked legacy binary retained pending Phase 3 packaging parity
db/ddlutils/lib/jakarta-oro-2.0.8.jar	quarantined	Tracked legacy binary retained pending Phase 3 packaging parity
db/ddlutils/lib/ojdbc6.jar	quarantined	Tracked legacy binary retained pending Phase 3 packaging parity
db/ddlutils/lib/postgresql.jar	quarantined	Tracked legacy binary retained pending Phase 3 packaging parity
db/ddlutils/lib/stax-api-1.0.1.jar	quarantined	Tracked legacy binary retained pending Phase 3 packaging parity
db/ddlutils/lib/wstx-asl-3.0.2.jar	quarantined	Tracked legacy binary retained pending Phase 3 packaging parity
extend/CostingEngine/dist/lib/liberoCE.jar	quarantined	Tracked legacy binary retained pending Phase 3 packaging parity
glassfishfacet/lib/appserv-admin.jar	quarantined	Tracked legacy binary retained pending Phase 3 packaging parity
glassfishfacet/lib/appserv-deployment-client.jar	quarantined	Tracked legacy binary retained pending Phase 3 packaging parity
glassfishfacet/lib/appserv-ext.jar	quarantined	Tracked legacy binary retained pending Phase 3 packaging parity
glassfishfacet/lib/appserv-rt.jar	quarantined	Tracked legacy binary retained pending Phase 3 packaging parity
gradle/wrapper/gradle-wrapper.jar	source-built	Pinned Gradle 8.10.2 wrapper bootstrap
lib/customization.jar	quarantined	Shipped Ant/runtime binary retained pending coordinate reconciliation
lib/jetty.jar	quarantined	Shipped Ant/runtime binary retained pending coordinate reconciliation
lib/mariadb-java-client.jar	quarantined	Shipped Ant/runtime binary retained pending coordinate reconciliation
lib/mysql-connector-java-5.1.13-bin.jar	quarantined	Shipped Ant/runtime binary retained pending coordinate reconciliation
lib/patches.jar	quarantined	Shipped Ant/runtime binary retained pending coordinate reconciliation
lib/tomcat.jar	quarantined	Shipped Ant/runtime binary retained pending coordinate reconciliation
lib/wildfly.jar	quarantined	Shipped Ant/runtime binary retained pending coordinate reconciliation
lib/zkcustomization.jar	quarantined	Shipped Ant/runtime binary retained pending coordinate reconciliation
lib/zkpatches.jar	quarantined	Shipped Ant/runtime binary retained pending coordinate reconciliation
org.adempiere.pos/packages/ADempierePOS/lib/ADempierePOS.jar	quarantined	Tracked legacy binary retained pending Phase 3 packaging parity
org.adempiere.pos/zkpackages/ADempierePOS/lib/ADempierePOSzk.jar	quarantined	Tracked legacy binary retained pending Phase 3 packaging parity
org.adempiere.webservice/WEB-INF/lib/XmlSchema-1.0.3.jar	quarantined	Tracked legacy binary retained pending Phase 3 packaging parity
org.adempiere.webservice/WEB-INF/lib/activation-1.1.jar	quarantined	Tracked legacy binary retained pending Phase 3 packaging parity
org.adempiere.webservice/WEB-INF/lib/ant-1.5.jar	quarantined	Tracked legacy binary retained pending Phase 3 packaging parity
org.adempiere.webservice/WEB-INF/lib/avalon-framework-4.1.3.jar	quarantined	Tracked legacy binary retained pending Phase 3 packaging parity
org.adempiere.webservice/WEB-INF/lib/classworlds-1.1-alpha-2.jar	quarantined	Tracked legacy binary retained pending Phase 3 packaging parity
org.adempiere.webservice/WEB-INF/lib/commons-attributes-api-2.1.jar	quarantined	Tracked legacy binary retained pending Phase 3 packaging parity
org.adempiere.webservice/WEB-INF/lib/commons-beanutils-1.6.jar	quarantined	Tracked legacy binary retained pending Phase 3 packaging parity
org.adempiere.webservice/WEB-INF/lib/commons-codec-1.3.jar	quarantined	Tracked legacy binary retained pending Phase 3 packaging parity
org.adempiere.webservice/WEB-INF/lib/commons-digester-1.7.jar	quarantined	Tracked legacy binary retained pending Phase 3 packaging parity
org.adempiere.webservice/WEB-INF/lib/commons-httpclient-3.0.jar	quarantined	Tracked legacy binary retained pending Phase 3 packaging parity
org.adempiere.webservice/WEB-INF/lib/commons-logging-1.0.4.jar	quarantined	Tracked legacy binary retained pending Phase 3 packaging parity
org.adempiere.webservice/WEB-INF/lib/dom4j-1.6.jar	quarantined	Tracked legacy binary retained pending Phase 3 packaging parity
