# kind	location	match	owner
module-flag	.idea/compiler.xml:20	<module name="adempiere" options="--add-exports java.desktop/sun.swing=ALL-UNNAMED --add-exports java.desktop/sun.awt=ALL-UNNAMED --add-exports java.base/sun.security.provider=ALL-UNNAMED" />	Phase 2: runtime/module flag review
reflection	JasperReports/src/org/compiere/jr/report/ReportStarter.java:177	Class.forName("org.compiere.interfaces.MD5"); 	Phase 2: reviewed application extension/reflection seam
reflection	base/phase2-smoke/src/test/java/org/adempiere/phase2/Phase2RuntimeBootstrap.java:118	Field field = CConnection.class.getDeclaredField("s_cc");	Phase 2: runtime smoke test isolation
reflection	base/phase2-smoke/src/test/java/org/adempiere/phase2/Phase2RuntimeBootstrap.java:119	field.setAccessible(true);	Phase 2: runtime smoke test isolation
reflection	base/phase2-smoke/src/test/java/org/adempiere/phase2/Phase2RuntimeBootstrap.java:81	Field cacheField = Trx.class.getDeclaredField("s_cache");	Phase 2: runtime smoke test isolation
reflection	base/phase2-smoke/src/test/java/org/adempiere/phase2/Phase2RuntimeBootstrap.java:82	cacheField.setAccessible(true);	Phase 2: runtime smoke test isolation
module-flag	base/phase2-smoke/src/test/java/org/adempiere/phase2/runtime/WritePhase2RuntimeConfig.java:44	"-Dfile.encoding=UTF-8 -Xms128m -Xmx1024m --add-opens java.base/java.lang=ALL-UNNAMED");	Phase 2: runtime smoke test isolation
reflection	base/phase3-metadata-validation/src/test/java/org/adempiere/phase3/MetadataExtensionGraphValidator.java:70	if (!Modifier.isPublic(loaded.getDeclaredConstructor().getModifiers())) {	Phase 3: metadata extension validation
reflection	base/src/org/adempiere/as/ASFactory.java:42	Class<?> c = Class.forName(s); 	Phase 2: reviewed application extension/reflection seam
reflection	base/src/org/adempiere/engine/CostingMethodFactory.java:54	Class<? extends ICostingMethod> clazz = (Class<? extends ICostingMethod>) Class.forName(className); 	Phase 2: reviewed application extension/reflection seam
reflection	base/src/org/adempiere/model/InterfaceWrapperHelper.java:258	field.setAccessible(true); 	Phase 2: reviewed application extension/reflection seam
reflection	base/src/org/adempiere/model/InterfaceWrapperHelper.java:281	field.setAccessible(true); 	Phase 2: reviewed application extension/reflection seam
reflection	base/src/org/adempiere/process/Export.java:198	Class clazz = Class.forName(javaClass); 	Phase 2: reviewed application extension/reflection seam
reflection	base/src/org/adempiere/process/InitialClientSetup.java:145	Class<?> ppClass = Class.forName("org.compiere.model.MSetup_" + country.getCountryCode()); 	Phase 2: reviewed application extension/reflection seam
version-gate	base/src/org/adempiere/process/rpl/exp/TopicExportProcessor.java:128	String jVersion = System.getProperty("java.version"); 	Phase 2: legacy version branch review
reflection	base/src/org/adempiere/util/ProcessUtil.java:164	process = (ProcessCall) processClass.getDeclaredConstructor().newInstance(); 	Phase 2: reviewed application extension/reflection seam
reflection	base/src/org/adempiere/util/Services.java:117	serviceClassCtor.setAccessible(true); 	Phase 2: reviewed application extension/reflection seam
reflection	base/src/org/adempiere/util/Services.java:174	serviceClassCtor.setAccessible(true); 	Phase 2: reviewed application extension/reflection seam
reflection	base/src/org/compiere/Adempiere.java:429	Class.forName(className);	Phase 2: reviewed application extension/reflection seam
reflection	base/src/org/compiere/Adempiere.java:432	Class.forName(className);	Phase 2: reviewed application extension/reflection seam
reflection	base/src/org/compiere/acct/Doc.java:2646	cClass = Class.forName(className); 	Phase 2: reviewed application extension/reflection seam
reflection	base/src/org/compiere/acct/DocFactory.java:274	Class<?> cClass = Class.forName(className.get());	Phase 2: reviewed application extension/reflection seam
reflection	base/src/org/compiere/impexp/ImpFormat.java:102	Class<?> clazz = Class.forName(className); 	Phase 2: reviewed application extension/reflection seam
reflection	base/src/org/compiere/impexp/ImpFormatRow.java:290	Class cClass = Class.forName(callout.substring(0,methodStart)); 	Phase 2: reviewed application extension/reflection seam
reflection	base/src/org/compiere/model/GridTab.java:2701	Class<?> cClass = Class.forName(cmd.substring(0,methodStart));	Phase 2: reviewed application extension/reflection seam
reflection	base/src/org/compiere/model/MBankStatementLoader.java:123	Class bsrClass = Class.forName(getStmtLoaderClass());	Phase 2: reviewed application extension/reflection seam
reflection	base/src/org/compiere/model/MBankStatementMatcher.java:150	Class matcherClass = Class.forName(className); 	Phase 2: reviewed application extension/reflection seam
reflection	base/src/org/compiere/model/MEXPProcessorType.java:66	Class<?> clazz = Class.forName(getJavaClass()); 	Phase 2: reviewed application extension/reflection seam
reflection	base/src/org/compiere/model/MIMPProcessorType.java:54	Class<?> clazz = Class.forName(getJavaClass());	Phase 2: reviewed application extension/reflection seam
reflection	base/src/org/compiere/model/MMeasure.java:635	Class<?> clazz = Class.forName(cmd); 	Phase 2: reviewed application extension/reflection seam
reflection	base/src/org/compiere/model/MSLACriteria.java:143	Class clazz = Class.forName(getClassname()); 	Phase 2: reviewed application extension/reflection seam
reflection	base/src/org/compiere/model/MTable.java:380	Class<?> clazz = Class.forName(className); 	Phase 2: reviewed application extension/reflection seam
reflection	base/src/org/compiere/model/MTable.java:562	constructor = clazz.getDeclaredConstructor(new Class[]{Properties.class, int.class, String.class}); 	Phase 2: reviewed application extension/reflection seam
reflection	base/src/org/compiere/model/MTable.java:624	Constructor<?> constructor = clazz.getDeclaredConstructor(new Class[]{Properties.class, ResultSet.class, String.class}); 	Phase 2: reviewed application extension/reflection seam
reflection	base/src/org/compiere/model/ModelValidationEngine.java:139	Class<?> clazz = Class.forName(className); 	Phase 2: reviewed application extension/reflection seam
reflection	base/src/org/compiere/model/PO.java:2387	Class.forName("org.compiere.wf.DocWorkflowManager");	Phase 2: reviewed application extension/reflection seam
reflection	base/src/org/compiere/model/PaymentProcessor.java:85	Class<?> ppClass = Class.forName(className); 	Phase 2: reviewed application extension/reflection seam
reflection	base/src/org/compiere/process/ReplenishReport.java:377	Class<?> clazz = Class.forName(className); 	Phase 2: reviewed application extension/reflection seam
reflection	base/src/org/compiere/process/ServerProcessCtl.java:305	Class<?> processClass = Class.forName(processInstance.getClassName()); 	Phase 2: reviewed application extension/reflection seam
reflection	base/src/org/compiere/process/SvrProcess.java:1007	constructor = clazz.getDeclaredConstructor(); 	Phase 2: reviewed application extension/reflection seam
reflection	base/src/org/compiere/process/SvrProcess.java:799	Class<?> clazz = Class.forName(className); 	Phase 2: reviewed application extension/reflection seam
reflection	base/src/org/compiere/process/SvrProcess.java:993	clazz = Class.forName("org.eevolution.form.VPrintDocument"); 	Phase 2: reviewed application extension/reflection seam
reflection	base/src/org/compiere/process/SvrProcess.java:995	constructor = clazz.getDeclaredConstructor(); 	Phase 2: reviewed application extension/reflection seam
reflection	base/src/org/compiere/util/DB.java:165	Class<?> clazz = Class.forName("org.compiere.MigrateData"); 	Phase 2: reviewed application extension/reflection seam
internal-import	base/src/org/compiere/util/EMail.java:54	import com.sun.mail.smtp.SMTPMessage; 	Phase 2: JavaMail implementation API, not a JDK internal
internal-import	base/src/org/compiere/util/EMail.java:55	import com.sun.mail.smtp.SMTPTransport; 	Phase 2: JavaMail implementation API, not a JDK internal
version-gate	base/src/org/compiere/util/Login.java:124	String jVersion = System.getProperty("java.version");	Phase 2: JDK validation/keytool replacement
reflection	base/src/org/compiere/util/Msg.java:416	Class<?> clazz = Class.forName(className);	Phase 2: reviewed application extension/reflection seam
reflection	base/src/org/compiere/util/Queue.java:61	Class.forName("oracle.AQ.AQOracleDriver"); 	Phase 2: reviewed application extension/reflection seam
reflection	base/src/org/compiere/util/SecureEngine.java:191	Class clazz = Class.forName(realClass); 	Phase 2: reviewed application extension/reflection seam
reflection	base/src/org/eevolution/grid/BrowserRow.java:509	Class<?> cClass = Class.forName(cmd.substring(0, methodStart)); 	Phase 2: reviewed application extension/reflection seam
