# surface	ant_role	gradle_path	classification
tools	jar	:tools	shared
base	jar	:base	shared
org.adempiere.asset	jar	:org.adempiere.asset	shared
extend	jar	:extend	shared
JasperReports	jar	:JasperReports	shared
client	jar	:client	shared
JasperReportsWebApp	jar	-	ant-only
org.adempiere.webservice	jar	:org.adempiere.webservice	shared
serverRoot	jar	:serverRoot	shared
serverApps	jar	-	ant-only
webStore	jar	-	ant-only
webCM	jar	-	ant-only
sqlj	jar	-	ant-only
zkwebui	jar	-	ant-only
org.compiere.mobile	jar	-	ant-only
migration	jar	:migration	shared
org.eevolution.cashflow	jar	:org.eevolution.cashflow	shared
org.eevolution.distribution	jar	:org.eevolution.distribution	shared
org.eevolution.manufacturing	jar	:org.eevolution.manufacturing	shared
org.eevolution.hr_and_payroll	jar	:org.eevolution.hr_and_payroll	shared
org.eevolution.warehouse	jar	:org.eevolution.warehouse	shared
org.eevolution.freight	jar	:org.eevolution.freight	shared
com.kkalice.adempiere.migrate	jar	-	ant-only
org.adempiere.pos	jar	:org.adempiere.pos	shared
org.adempiere.production	jar	:org.adempiere.production	shared
org.spin.finance_management	jar	:org.spin.finance_management	shared
org.spin.loan_management	jar	:org.spin.loan_management	shared
org.spin.hr_time_and_attendance	jar	:org.spin.hr_time_and_attendance	shared
org.spin.store	jar	:org.spin.store	shared
org.spin.notifier.telegram	jar	:org.spin.notifier.telegram	shared
org.spin.notifier.discord	jar	:org.spin.notifier.discord	shared
org.spin.authentication	jar	:org.spin.authentication	shared
install	installer	:install	shared
looks	embedded-base	-	ant-embedded
glassfishfacet	embedded-base	-	ant-embedded
jbossfacet	-	-	phase3-quarantined
org.adempiere.crm	-	:org.adempiere.crm	gradle-only
org.adempiere.project	-	:org.adempiere.project	gradle-only
org.adempiere.request	-	:org.adempiere.request	gradle-only
org.adempiere.test	-	:org.adempiere.test	gradle-only
