# path	namespace	classification	owner	disposition	closing_gate
JasperReportsWebApp/build.xml	javax.servlet	jakarta-web	JasperReportsWebApp	migrate	5f
JasperReportsWebApp/src/org/compiere/web/GetMD5FileServlet.java	javax.servlet	jakarta-web	JasperReportsWebApp	migrate	5f
base/build.xml	javax.servlet	jakarta-web	base	migrate	5f
base/src/org/compiere/model/MAd.java	javax.servlet	jakarta-web	base	migrate	5f
base/src/org/compiere/util/FileUpload.java	javax.servlet	jakarta-web	base	migrate	5f
base/src/org/compiere/util/WebEnv.java	javax.servlet	jakarta-web	base	migrate	5f
base/src/org/compiere/util/WebLogin.java	javax.servlet	jakarta-web	base	migrate	5f
base/src/org/compiere/util/WebSessionCtx.java	javax.servlet	jakarta-web	base	migrate	5f
base/src/org/compiere/util/WebUser.java	javax.servlet	jakarta-web	base	migrate	5f
base/src/org/compiere/util/WebUtil.java	javax.servlet	jakarta-web	base	migrate	5f
base/xdoclet-build.xml	javax.servlet	jakarta-web	base	migrate	5f
gradle/verification-metadata.xml	javax.servlet	jakarta-web	gradle	migrate	5f
org.adempiere.asset/src/main/java/base/org/compiere/asset/model/MAssetDelivery.java	javax.servlet	jakarta-web	org.adempiere.asset	migrate	5f
org.adempiere.asset/src/main/java/base/org/compiere/asset/model/MRegistration.java	javax.servlet	jakarta-web	org.adempiere.asset	migrate	5f
org.adempiere.pos/.idea/libraries/SBT__javax_servlet_servlet_api_2_4_jar.xml	javax.servlet	jakarta-web	org.adempiere.pos	migrate	5f
org.adempiere.webservice/src/router/java/org/adempiere/webservice/router/SoapCompatibilityRouter.java	javax.servlet	jakarta-web	org.adempiere.webservice	migrate	5f
org.compiere.mobile/WEB-INF/src/org/compiere/mobile/LoginDynUpdate.java	javax.servlet	jakarta-web	org.compiere.mobile	migrate	5f
org.compiere.mobile/WEB-INF/src/org/compiere/mobile/MobileEnv.java	javax.servlet	jakarta-web	org.compiere.mobile	migrate	5f
org.compiere.mobile/WEB-INF/src/org/compiere/mobile/MobileSessionCtx.java	javax.servlet	jakarta-web	org.compiere.mobile	migrate	5f
org.compiere.mobile/WEB-INF/src/org/compiere/mobile/MobileUtil.java	javax.servlet	jakarta-web	org.compiere.mobile	migrate	5f
org.compiere.mobile/WEB-INF/src/org/compiere/mobile/WError.java	javax.servlet	jakarta-web	org.compiere.mobile	migrate	5f
org.compiere.mobile/WEB-INF/src/org/compiere/mobile/WFieldUpdate.java	javax.servlet	jakarta-web	org.compiere.mobile	migrate	5f
org.compiere.mobile/WEB-INF/src/org/compiere/mobile/WFilter.java	javax.servlet	jakarta-web	org.compiere.mobile	migrate	5f
org.compiere.mobile/WEB-INF/src/org/compiere/mobile/WFindAdv.java	javax.servlet	jakarta-web	org.compiere.mobile	migrate	5f
org.compiere.mobile/WEB-INF/src/org/compiere/mobile/WForm.java	javax.servlet	jakarta-web	org.compiere.mobile	migrate	5f
org.compiere.mobile/WEB-INF/src/org/compiere/mobile/WHelp.java	javax.servlet	jakarta-web	org.compiere.mobile	migrate	5f
org.compiere.mobile/WEB-INF/src/org/compiere/mobile/WLocation.java	javax.servlet	jakarta-web	org.compiere.mobile	migrate	5f
org.compiere.mobile/WEB-INF/src/org/compiere/mobile/WLogin.java	javax.servlet	jakarta-web	org.compiere.mobile	migrate	5f
org.compiere.mobile/WEB-INF/src/org/compiere/mobile/WLookup.java	javax.servlet	jakarta-web	org.compiere.mobile	migrate	5f
org.compiere.mobile/WEB-INF/src/org/compiere/mobile/WMenu.java	javax.servlet	jakarta-web	org.compiere.mobile	migrate	5f
org.compiere.mobile/WEB-INF/src/org/compiere/mobile/WProcess.java	javax.servlet	jakarta-web	org.compiere.mobile	migrate	5f
org.compiere.mobile/WEB-INF/src/org/compiere/mobile/WProcessCtl.java	javax.servlet	jakarta-web	org.compiere.mobile	migrate	5f
org.compiere.mobile/WEB-INF/src/org/compiere/mobile/WReport.java	javax.servlet	jakarta-web	org.compiere.mobile	migrate	5f
org.compiere.mobile/WEB-INF/src/org/compiere/mobile/WStart.java	javax.servlet	jakarta-web	org.compiere.mobile	migrate	5f
org.compiere.mobile/WEB-INF/src/org/compiere/mobile/WStatus.java	javax.servlet	jakarta-web	org.compiere.mobile	migrate	5f
org.compiere.mobile/WEB-INF/src/org/compiere/mobile/WStatusArrayList.java	javax.servlet	jakarta-web	org.compiere.mobile	migrate	5f
