# path	type	owner	references	disposition	closing_gate
JasperReportsWebApp/build.xml	xml	JasperReportsWebApp	javax.servlet	migrate-or-review	5d
base/build.xml	xml	base	javax.servlet	migrate-or-review	5d
base/xdoclet-build.xml	xml	base	javax.servlet	migrate-or-review	5d
gradle/verification-metadata.xml	xml	gradle	zk,javax.servlet,javax.mail,javax.annotation,javax.activation	migrate-or-review	5d
install/Adempiere/build.xml	xml	install	javax.mail	migrate-or-review	5d
org.adempiere.pos/.idea/libraries/SBT__javax_servlet_servlet_api_2_4_jar.xml	xml	org.adempiere.pos	javax.servlet	migrate-or-review	5d
org.compiere.mobile/build.xml	xml	org.compiere.mobile	javax.servlet	migrate-or-review	5d
serverApps/build.xml	xml	serverApps	javax.servlet	migrate-or-review	5d
serverRoot/build.xml	xml	serverRoot	javax.servlet,javax.jms,javax.annotation	migrate-or-review	5d
tools/build.xml	xml	tools	javax.servlet,javax.jms,javax.annotation,javax.activation	migrate-or-review	5d
tools/lib/ant/apache-ant-1.10.10/fetch.xml	xml	tools	javax.servlet	migrate-or-review	5d
webCM/build.xml	xml	webCM	javax.servlet	migrate-or-review	5d
webStore/src/web/WEB-INF/c.tld	tld	webStore	javax.servlet	migrate-or-review	5f
webStore/src/web/WEB-INF/fmt.tld	tld	webStore	javax.servlet	migrate-or-review	5f
webStore/src/web/WEB-INF/sql.tld	tld	webStore	javax.servlet	migrate-or-review	5f
webStore/src/web/WEB-INF/x.tld	tld	webStore	javax.servlet	migrate-or-review	5f
webStore/src/web/assets.jsp	jsp	webStore	javax.servlet	migrate-or-review	5f
webStore/src/web/basket.jsp	jsp	webStore	javax.servlet	migrate-or-review	5f
webStore/src/web/commissionRuns.jsp	jsp	webStore	javax.servlet	migrate-or-review	5f
webStore/src/web/commissionedInvoices.jsp	jsp	webStore	javax.servlet	migrate-or-review	5f
webStore/src/web/confirm.jsp	jsp	webStore	javax.servlet	migrate-or-review	5f
webStore/src/web/expense.jsp	jsp	webStore	javax.servlet	migrate-or-review	5f
webStore/src/web/expenses.jsp	jsp	webStore	javax.servlet	migrate-or-review	5f
webStore/src/web/index.jsp	jsp	webStore	javax.servlet	migrate-or-review	5f
webStore/src/web/info.jsp	jsp	webStore	javax.servlet	migrate-or-review	5f
webStore/src/web/invoiceLines.jsp	jsp	webStore	javax.servlet	migrate-or-review	5f
webStore/src/web/invoices.jsp	jsp	webStore	javax.servlet	migrate-or-review	5f
webStore/src/web/notes.jsp	jsp	webStore	javax.servlet	migrate-or-review	5f
webStore/src/web/orderDetails.jsp	jsp	webStore	javax.servlet	migrate-or-review	5f
webStore/src/web/orders.jsp	jsp	webStore	javax.servlet	migrate-or-review	5f
webStore/src/web/payments.jsp	jsp	webStore	javax.servlet	migrate-or-review	5f
webStore/src/web/registrations.jsp	jsp	webStore	javax.servlet	migrate-or-review	5f
webStore/src/web/requestDetails.jsp	jsp	webStore	javax.servlet	migrate-or-review	5f
webStore/src/web/requestTypes.jsp	jsp	webStore	javax.servlet	migrate-or-review	5f
webStore/src/web/requests.jsp	jsp	webStore	javax.servlet	migrate-or-review	5f
webStore/src/web/requestsAll.jsp	jsp	webStore	javax.servlet	migrate-or-review	5f
webStore/src/web/requests_sr.jsp	jsp	webStore	javax.servlet	migrate-or-review	5f
webStore/src/web/rfqDetails.jsp	jsp	webStore	javax.servlet	migrate-or-review	5f
webStore/src/web/rfqs.jsp	jsp	webStore	javax.servlet	migrate-or-review	5f
webStore/src/web/shipments.jsp	jsp	webStore	javax.servlet	migrate-or-review	5f
webStore/src/web/template.jsp	jsp	webStore	javax.servlet	migrate-or-review	5f
zkwebui/WEB-INF/tld/web/core.dsp.tld	tld	zkwebui	zk	migrate-or-review	5f
zkwebui/WEB-INF/tld/web/html.dsp.tld	tld	zkwebui	zk	migrate-or-review	5f
zkwebui/WEB-INF/tld/zk/core.dsp.tld	tld	zkwebui	zk	migrate-or-review	5f
zkwebui/WEB-INF/tld/zk/core.jsp.tld	tld	zkwebui	zk	migrate-or-review	5f
zkwebui/WEB-INF/tld/zul/core.dsp.tld	tld	zkwebui	zk	migrate-or-review	5f
zkwebui/WEB-INF/web-2.5.xml	xml	zkwebui	zk	migrate-or-review	5d
zkwebui/WEB-INF/web.xml	xml	zkwebui	zk	migrate-or-review	5d
zkwebui/WEB-INF/zk.xml	xml	zkwebui	zk	migrate-or-review	5d
zkwebui/src/phase5d/webapp/WEB-INF/web.xml	xml	zkwebui	zk	migrate-or-review	5d
zkwebui/src/phase5d/webapp/WEB-INF/zk.xml	xml	zkwebui	zk	migrate-or-review	5d
zkwebui/src/phase5d/webapp/index.zul	zul	zkwebui	zk	migrate-or-review	5d
