# path	owner	reference_count	api_families	compile_gate	behavior_gate	disposition
base/src/org/adempiere/pipo/PackOut.java	base	1	ce-core	5d	5g	migrate-source
base/src/org/compiere/process/MigrationToXML.java	base	1	ce-core	5d	5g	migrate-source
org.adempiere.cohort/src/bridge/java/org/adempiere/web/bridge/CohortDecisionInterceptor.java	org.adempiere.cohort	5	ce-core	5e	5h	frozen-zk36-bridge
org.adempiere.pos/src/main/java/ui/zk/org/adempiere/pos/POSNumberBox.java	org.adempiere.pos	10	ce-core	5d	5g	migrate-source
org.adempiere.pos/src/main/java/ui/zk/org/adempiere/pos/WCollect.java	org.adempiere.pos	6	ce-core	5d	5g	migrate-source
org.adempiere.pos/src/main/java/ui/zk/org/adempiere/pos/WCollectDetail.java	org.adempiere.pos	9	ce-core	5d	5g	migrate-source
org.adempiere.pos/src/main/java/ui/zk/org/adempiere/pos/WPOS.java	org.adempiere.pos	9	ce-core	5d	5g	migrate-source
org.adempiere.pos/src/main/java/ui/zk/org/adempiere/pos/WPOSActionMenu.java	org.adempiere.pos	5	ce-core	5d	5g	migrate-source
org.adempiere.pos/src/main/java/ui/zk/org/adempiere/pos/WPOSActionPanel.java	org.adempiere.pos	4	ce-core	5d	5g	migrate-source
org.adempiere.pos/src/main/java/ui/zk/org/adempiere/pos/WPOSDocumentPanel.java	org.adempiere.pos	5	ce-core	5d	5g	migrate-source
org.adempiere.pos/src/main/java/ui/zk/org/adempiere/pos/WPOSInfoProduct.java	org.adempiere.pos	6	ce-core	5d	5g	migrate-source
org.adempiere.pos/src/main/java/ui/zk/org/adempiere/pos/WPOSKeyPanel.java	org.adempiere.pos	6	ce-core	5d	5g	migrate-source
org.adempiere.pos/src/main/java/ui/zk/org/adempiere/pos/WPOSKeyboard.java	org.adempiere.pos	7	ce-core	5d	5g	migrate-source
org.adempiere.pos/src/main/java/ui/zk/org/adempiere/pos/WPOSLookupProduct.java	org.adempiere.pos	6	ce-core	5d	5g	migrate-source
org.adempiere.pos/src/main/java/ui/zk/org/adempiere/pos/WPOSOrderLinePanel.java	org.adempiere.pos	3	ce-core	5d	5g	migrate-source
org.adempiere.pos/src/main/java/ui/zk/org/adempiere/pos/WPOSQuantityPanel.java	org.adempiere.pos	3	ce-core	5d	5g	migrate-source
org.adempiere.pos/src/main/java/ui/zk/org/adempiere/pos/WPOSScalesListener.java	org.adempiere.pos	4	ce-core	5d	5g	migrate-source
org.adempiere.pos/src/main/java/ui/zk/org/adempiere/pos/WPOSSubPanel.java	org.adempiere.pos	1	ce-core	5d	5g	migrate-source
org.adempiere.pos/src/main/java/ui/zk/org/adempiere/pos/WPOSTextField.java	org.adempiere.pos	6	ce-core	5d	5g	migrate-source
org.adempiere.pos/src/main/java/ui/zk/org/adempiere/pos/WPOSUserPinDialog.java	org.adempiere.pos	4	ce-core	5d	5g	migrate-source
org.adempiere.pos/src/main/java/ui/zk/org/adempiere/pos/WPOSUserPinListener.java	org.adempiere.pos	4	ce-core	5d	5g	migrate-source
org.adempiere.pos/src/main/java/ui/zk/org/adempiere/pos/grid/WPOSBPartner.java	org.adempiere.pos	6	ce-core	5d	5g	migrate-source
org.adempiere.pos/src/main/java/ui/zk/org/adempiere/pos/search/WPOSQuery.java	org.adempiere.pos	2	ce-core	5d	5g	migrate-source
org.adempiere.pos/src/main/java/ui/zk/org/adempiere/pos/search/WQueryBPartner.java	org.adempiere.pos	6	ce-core	5d	5g	migrate-source
org.adempiere.pos/src/main/java/ui/zk/org/adempiere/pos/search/WQueryDocType.java	org.adempiere.pos	6	ce-core	5d	5g	migrate-source
org.adempiere.pos/src/main/java/ui/zk/org/adempiere/pos/search/WQueryOrderHistory.java	org.adempiere.pos	6	ce-core	5d	5g	migrate-source
