# service	operation	http_status	soap_fault	scope	mutability	authentication
ADService	getVersion	200	false	session	read-only	session-login
ADService	getLookupSearchData	500	true	session	read-only	session-login
ADService	getLocation	500	true	session	read-only	session-login
ADService	runProcess	500	true	session	mutating	session-login
ADService	getADMenu	500	true	session	read-only	session-login
ADService	getDataRow	500	true	session	read-only	session-login
ADService	saveLocation	500	true	session	mutating	session-login
ADService	login	500	true	session	session-state	session-login
ADService	getADWindow	500	true	session	read-only	session-login
ADService	getLookupData	500	true	session	read-only	session-login
ADService	getDocAction	500	true	session	read-only	session-login
ADService	setDocAction	500	true	session	mutating	session-login
ADService	getWindowTabData	500	true	session	read-only	session-login
ADService	refreshDataRow	500	true	session	session-state	session-login
ADService	deleteDataRow	500	true	session	mutating	session-login
ADService	addNewDataRow	500	true	session	mutating	session-login
ADService	isLoggedIn	200	false	session	read-only	session-login
ADService	ignoreDataRow	500	true	session	session-state	session-login
ADService	saveDataRow	500	true	session	mutating	session-login
ADService	updateDataRow	500	true	session	mutating	session-login
ADService	getProcessParams	500	true	session	read-only	session-login
ExternalSales	getProductsPlusCatalog	500	true	request	read-only	request-body-credentials
ExternalSales	getProductsCatalog	500	true	request	read-only	request-body-credentials
ExternalSales	uploadOrders	500	true	request	mutating	request-body-credentials
ModelADService	setDocAction	500	true	request	mutating	request-body-credentials
ModelADService	createData	500	true	request	mutating	request-body-credentials
ModelADService	deleteData	500	true	request	mutating	request-body-credentials
ModelADService	readData	500	true	request	read-only	request-body-credentials
ModelADService	getList	500	true	request	read-only	request-body-credentials
ModelADService	runProcess	500	true	request	mutating	request-body-credentials
ModelADService	updateData	500	true	request	mutating	request-body-credentials
ModelADService	queryData	500	true	request	read-only	request-body-credentials
WebService	getCustomers	500	true	request	read-only	request-body-credentials
