# service	operation	namespace	request_message	request_parts	response_message	response_parts	soap_action	endpoint	url_forms	http_method	content_type	charset	scope	mutability	authentication	traffic_class	phase4_gate
ADService	getVersion	http://3e.pl/ADInterface	getVersionRequest		getVersionResponse	out:xsd:string		http://127.0.0.1:8888/ADInterface/services/ADService	/ADInterface/services/*,/ADInterface/servlet/XFireServlet/*	POST	text/xml	UTF-8	session	read-only	session-login	service-to-service	phase4-soap
ADService	getLookupSearchData	http://3e.pl/ADInterface	getLookupSearchDataRequest	getLookupSearchDataReq:tns:getLookupSearchDataReq	getLookupSearchDataResponse	WindowTabData:tns:WindowTabData		http://127.0.0.1:8888/ADInterface/services/ADService	/ADInterface/services/*,/ADInterface/servlet/XFireServlet/*	POST	text/xml	UTF-8	session	read-only	session-login	service-to-service	phase4-soap
ADService	getLocation	http://3e.pl/ADInterface	getLocationRequest	Location:tns:Location	getLocationResponse	Location:tns:Location		http://127.0.0.1:8888/ADInterface/services/ADService	/ADInterface/services/*,/ADInterface/servlet/XFireServlet/*	POST	text/xml	UTF-8	session	read-only	session-login	service-to-service	phase4-soap
ADService	runProcess	http://3e.pl/ADInterface	runProcessRequest	RunProcess:tns:RunProcess	runProcessResponse	RunProcessResponse:tns:RunProcessResponse		http://127.0.0.1:8888/ADInterface/services/ADService	/ADInterface/services/*,/ADInterface/servlet/XFireServlet/*	POST	text/xml	UTF-8	session	mutating	session-login	service-to-service	phase4-soap
ADService	getADMenu	http://3e.pl/ADInterface	getADMenuRequest	in0:xsd:int	getADMenuResponse	ADMenu:tns:ADMenu		http://127.0.0.1:8888/ADInterface/services/ADService	/ADInterface/services/*,/ADInterface/servlet/XFireServlet/*	POST	text/xml	UTF-8	session	read-only	session-login	service-to-service	phase4-soap
ADService	getDataRow	http://3e.pl/ADInterface	getDataRowRequest	in0:xsd:int,in1:xsd:int,in2:xsd:int	getDataRowResponse	WindowTabData:tns:WindowTabData		http://127.0.0.1:8888/ADInterface/services/ADService	/ADInterface/services/*,/ADInterface/servlet/XFireServlet/*	POST	text/xml	UTF-8	session	read-only	session-login	service-to-service	phase4-soap
ADService	saveLocation	http://3e.pl/ADInterface	saveLocationRequest	Location:tns:Location	saveLocationResponse	StandardResponse:tns:StandardResponse		http://127.0.0.1:8888/ADInterface/services/ADService	/ADInterface/services/*,/ADInterface/servlet/XFireServlet/*	POST	text/xml	UTF-8	session	mutating	session-login	service-to-service	phase4-soap
ADService	login	http://3e.pl/ADInterface	loginRequest	ADLoginRequest:tns:ADLoginRequest	loginResponse	ADLoginResponse:tns:ADLoginResponse		http://127.0.0.1:8888/ADInterface/services/ADService	/ADInterface/services/*,/ADInterface/servlet/XFireServlet/*	POST	text/xml	UTF-8	session	session-state	session-login	service-to-service	phase4-soap
ADService	getADWindow	http://3e.pl/ADInterface	getADWindowRequest	in0:xsd:int,in1:xsd:int,in2:xsd:int	getADWindowResponse	Window:tns:Window		http://127.0.0.1:8888/ADInterface/services/ADService	/ADInterface/services/*,/ADInterface/servlet/XFireServlet/*	POST	text/xml	UTF-8	session	read-only	session-login	service-to-service	phase4-soap
ADService	getLookupData	http://3e.pl/ADInterface	getLookupDataRequest	in0:xsd:int,in1:xsd:int,in2:xsd:int,in3:xsd:string	getLookupDataResponse	WindowTabData:tns:WindowTabData		http://127.0.0.1:8888/ADInterface/services/ADService	/ADInterface/services/*,/ADInterface/servlet/XFireServlet/*	POST	text/xml	UTF-8	session	read-only	session-login	service-to-service	phase4-soap
